strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
GCF_900503955.1	Klebsiella pneumoniae	strong	463	370122	806132	5536251	no	-	ST107	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi74	KL103	*	Very high	96.71%		O1v1	none	Very high	97.73%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST107	2	1	2	17	27	1	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900503985.1	Klebsiella pneumoniae	strong	54	546895	753886	5306650	no	-	ST3682	0	0	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL30	-+	Good	99.16%	KL30_15_wcuG	O1v1	none	Very high	98.55%		-	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST3682	2	1	1	37	1	23	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504085.1	Klebsiella pneumoniae	strong	82	328984	591703	5485828	no	-	ST11	1	2	9	14	ybt 10; ICEKp4	26	-	0	-	0	-	0	-	0	-	wzi75	KL105	none	Perfect	100.00%		O2v2	none	Very high	98.44%		aac(3)-IId^;aac(6')-Ib-cr.v2^;aadA2;armA	-	-	-	-	mphA;mphE.v2;msrE	catB3.v2	arr-3	sul1	tet(A).v1	-	-	OXA-1;TEM-1D.v1^	-	-	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	-	DHA-1?-70%	ST11	3	3	1	1	1	1	4	16	12	4	3	3	35	33	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504155.1	Klebsiella pneumoniae	strong	173	307758	512361	5418527	no	-	ST307	0	0	3	3	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	none	Very high	98.45%		-	-	-	qnrB1.v2^	-	-	-	-	-	tet(A).v1	-	dfrA14.v1^	-	-	-	-	-	SHV-28.v1^	-	-	-	GyrA-83I;ParC-80I	TEM-104*?-88%	OXA-1*?-0%;OXA-1?-0%;aac(3)-IId*?-62%	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504215.1	Klebsiella pneumoniae	strong	133	325372	670289	5513055	no	-	ST1527	0	0	5	6	-	0	-	0	-	0	-	0	-	0	-	wzi274	KL55	*	Very high	96.22%		O1v1	none	Very high	98.41%		strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v1^	TEM-1D.v1^	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST1527	3	4	4	1	9	4	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504245.1	Klebsiella pneumoniae	strong	346	360942	1532904	5289636	no	-	ST1408	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi101	KL24	none	Very high	98.89%		O2v1	none	Very high	98.85%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST1408	2	9	1	1	4	4	129	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504255.1	Klebsiella pneumoniae	strong	421	327735	1226974	5505143	no	-	ST11	1	0	8	10	ybt 10; ICEKp4	26	-	0	-	0	-	0	-	0	-	wzi75	KL105	none	Perfect	100.00%		O2v2	none	Very high	98.44%		aac(6')-Ib-cr.v2^;aadA2	-	-	qnrB4	-	mphA	catB3.v2	arr-3	sul1	tet(A).v1	-	-	DHA-1;OXA-1	-	-	-	-	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	16	12	4	3	3	35	33	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504265.1	Klebsiella pneumoniae	strong	240	259641	638939	5504703	no	-	ST189	1	0	1	1	ybt 10; ICEKp4	107-3LV	-	0	-	0	-	0	-	0	-	wzi99	KL128	none	Very high	99.99%		O3b	none	Very high	99.43%		-	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	CTX-M-114?-0%;OXA-245?-0%;arr-3?-0%;catB3.v2?-0%;qnrB4*?-41%;sul1?-62%	ST189	2	3	41	1	17	4	46	3	3*	4	3	3	56*	7	3*	3	3	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504275.1	Klebsiella pneumoniae	strong	82	245385	710304	5379351	no	-	ST15	0	0	7	10	-	0	-	0	-	0	-	0	-	0	-	wzi151	KL48	*	High	94.78%		O1v1	none	Very high	98.02%		aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	-	-	-	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504295.1	Klebsiella pneumoniae	strong	158	366237	988648	5294343	no	-	ST11	1	0	0	0	ybt 9; ICEKp3	209-4LV	-	0	-	0	-	0	-	0	-	-	KL110	none	Very high	99.39%		O2v1	none	Very high	98.78%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1	35Q	-	-	-	-	-	ST11	3	3	1	1	1	1	4	5	19	6	5	1	16*	65*	9	5*	5	21*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504315.1	Klebsiella pneumoniae	strong	383	430399	1516640	5586555	no	-	ST147	0	0	5	6	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Perfect	100.00%		O2v1	none	Very high	98.64%		aac(6')-Ib-cr.v2^	-	-	qnrS1	-	-	floR.v2*	-	sul2	-	-	-	TEM-1D.v1^;TEM-1D.v1^	-	-	-	-	SHV-11.v1^	35Q	OmpK35-17%	-	GyrA-83I;ParC-80I	-	OXA-48?-0%	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504355.1	Klebsiella pneumoniae	strong	622	314873	653365	5786500	no	-	ST42	1	0	0	0	ybt 14; ICEKp5	135-4LV	-	0	-	0	-	0	-	0	-	wzi33	KL64	none	Very high	99.85%		O1v1	none	Very high	99.32%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST42	2	6	1	3	8	1	15	4	4*	5*	4	1	27	160*	2*	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504365.1	Klebsiella pneumoniae	strong	76	268867	1037242	5660568	no	-	ST25	1	0	0	0	ybt 14; ICEKp5	135-1LV	-	0	-	0	-	0	-	0	-	wzi72	KL2	?-	Good	98.41%	KL2_14_wcaJ	O1v2	none	Very high	99.19%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST25	2	1	1	1	10	4	13	4	4	18	4	1	27	25	2	4	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504395.1	Klebsiella pneumoniae	strong	70	274925	876202	5287117	no	-	ST25	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O1v2	none	Very high	99.20%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST25	2	1	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504405.1	Klebsiella pneumoniae	strong	60	340084	582308	5396789	no	-	ST433	1	0	0	0	ybt 9; ICEKp3	192-1LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.98%		O2v2	none	Very high	98.43%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST433	2	1	2	60	7	1	7	5	11	6	5	1	60	65*	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504475.1	Klebsiella pneumoniae	strong	65	375531	1010617	5463666	no	-	ST8	2	0	0	0	ybt 17; ICEKp10	289-6LV	clb 3	17-1LV	-	0	-	0	-	0	-	wzi59	KL3	-	High	99.59%	KL3_14	O1v2	none	Very high	98.41%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST8	4	1	1	1	1	5	6	6*	15	5	4	11	28*	26*	16*	14	2*	2	2	10	2	2	2	2	2	8	2*	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504485.1	Klebsiella pneumoniae	strong	124	510714	799379	5513454	no	-	ST2286	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL45	none	Very high	97.66%		O4	-	High	99.69%	O4_06_glycosyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	fosA7*?-0%	ST2286	2	1	62	1	10	4	110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504515.1	Klebsiella pneumoniae	strong	84	311971	738849	5669028	no	-	ST37	1	0	5	8	ybt 9; ICEKp3	187-1LV	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.79%		O4	none	Very high	99.71%		aph3-Ia.v1*?;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v1^	TEM-1D.v1^;TEM-1D.v1^	-	-	-	-	SHV-11.v1^	35Q	-	-	-	sul1?-0%	-	ST37	2	9	2	1	13	1	16	5	11	6	5	1	25	282	9	5*	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504535.1	Klebsiella pneumoniae	strong	80	249812	450402	5482884	no	-	ST37	0	0	4	7	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.79%		O4	none	Very high	99.71%		aph3-Ia.v1^;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul1;sul2*	tet(D)	-	dfrA7	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504545.1	Klebsiella pneumoniae	strong	123	200451	363917	5625613	no	-	ST15	1	0	4	5	ybt 10; ICEKp4	28	-	0	-	0	-	0	-	0	-	wzi24	KL24	?-	Good	100.00%	KL24_13_wcuG	O1v1	none	Very high	98.52%		aac(3)-IId^;aac(6')-Ib-cr.v2	-	-	-	-	-	CatB4.v1?	-	-	-	-	-	OXA-1;TEM-1D.v1^	-	-	-	-	SHV-28.v1^	-	OmpK35-59%	-	GyrA-83F;GyrA-87A;ParC-80I	-	aac(3)-IIa.v1?-0%	ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504565.1	Klebsiella pneumoniae	strong	41	384482	894634	5218471	no	-	ST17	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi130	KL58	none	Very high	99.97%		O3b	none	Very high	99.03%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504615.1	Klebsiella pneumoniae	strong	437	486531	1000918	5523804	no	-	ST505	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Very high	99.91%		O1v1	none	Very high	98.65%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108	35Q	-	-	-	-	-	ST505	7	1	5	1	1	1	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504645.1	Klebsiella pneumoniae	strong	70	348916	930660	5624021	no	-	ST3667	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi162	KL122	none	Very high	99.96%		O2v2	none	Very high	98.49%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-33	-	-	-	-	-	-	ST3667	2	1	2	1	10	1	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504655.1	Klebsiella pneumoniae	strong	258	326643	857512	5514049	no	-	ST25	0	0	5	7	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O1v2	none	Very high	99.20%		strA.v1;strB.v1	-	-	-	-	-	catA1*	-	sul1;sul2	tet(D)	-	dfrA15.v2	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST25	2	1	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504705.1	Klebsiella pneumoniae	strong	92	903185	1048951	5353839	no	-	ST147	0	0	1	0	-	0	-	0	-	0	-	0	-	0	-	wzi187	KL27	none	Very high	99.26%		O4	none	Very high	99.75%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	TEM-79?-0%;aac(6')-Ib-cr.v2?-65%	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504715.1	Klebsiella pneumoniae	strong	358	255634	888805	5641812	no	-	ST661	0	2	2	2	-	0	-	0	-	0	-	0	-	0	-	wzi373	KL140	none	Very high	99.99%		O2v2	none	Very high	98.45%		-	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	KPC-2	SHV-27	156D	-	-	-	OXA-9.v1*-42%	-	ST661	4	3	1	36	9	10	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504725.1	Klebsiella pneumoniae	strong	74	273978	700878	5506196	no	-	ST16	0	0	8	13	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.89%		O3b	none	Very high	99.08%		aac(6')-IIc;aadA2;armA;strA.v1;strB.v1	mcr-9.1	-	-	-	mphE.v2;msrE	catII.2*	-	sul1;sul2	tet(D)	-	-	TEM-1D.v1^	-	-	-	-	SHV-1	-	-	MgrB-51%	GyrA-83F;GyrA-87N;ParC-84K	ereA2*?-0%	-	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504745.1	Klebsiella pneumoniae	strong	93	611937	1386781	5217304	no	-	ST2333	0	2	2	2	-	0	-	0	-	0	-	0	-	0	-	wzi84	KL28	none	Very high	99.20%		O2v1	none	Very high	98.87%		-	-	fosA7*	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST2333	2	6	13	2	177	1	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504785.1	Klebsiella pneumoniae	strong	83	321703	788501	5449025	no	-	ST25	0	0	7	11	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O1v2	none	Very high	99.19%		aadA2^;aadA^	-	-	qnrS1	-	-	cmlA1*	-	sul1;sul3?	tet(A).v1	-	dfrA1.v1;dfrA12	LAP-2;TEM-1D.v1^	-	-	-	-	SHV-11.v1^	35Q	OmpK36-25%	-	-	-	-	ST25	2	1	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504795.1	Klebsiella pneumoniae	strong	101	167831	516443	5764053	no	-	ST258	2	2	7	9	ybt 17; ICEKp10	251	clb 3	62-1LV	-	0	-	0	-	0	-	wzi154	KL107	none	Very high	99.99%		O2v2	none	Very high	98.38%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12;dfrA14.v1^	-	-	-	-	KPC-3	SHV-11.v1	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST258	3	3	1	1	1	1	79	6	15	44	13	11	28	26	2	11	4	2	5	10*-0%	2	2	2	4	2	8	2	2	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504805.1	Klebsiella pneumoniae	strong	51	377336	803880	5579846	no	-	ST336	1	2	6	7	ybt 15; ICEKp11	230-1LV	-	0	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.17%	KL25_09_wfeD	O5	*	High	94.21%		aac(6')-Ib-cr.v2;aph3-Ia.v1^	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	-	-	dfrA14.v1^	OXA-1	-	-	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37*	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504815.1	Klebsiella pneumoniae	strong	270	220177	804410	5799484	no	-	ST258	1	2	8	9	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?-+	Good	99.96%	"KL106_15_rfbp,KL106_17"	O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	-	-	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%;SHV-129?-81%	CMY-44?-41%;LAP-2?-0%	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504825.1	Klebsiella pneumoniae	strong	53	377336	803880	5580184	no	-	ST336	1	2	6	7	ybt 15; ICEKp11	230-1LV	-	0	-	0	-	0	-	0	-	wzi141	KL25	?-	Good	99.18%	"KL25_04_wza,KL25_09_wfeD"	O5	*	High	94.21%		aac(6')-Ib-cr.v2;aph3-Ia.v1^	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	-	-	dfrA14.v1^	OXA-1	-	-	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37*	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504835.1	Klebsiella pneumoniae	strong	154	450633	819974	5450091	no	-	ST3393	0	0	6	9	-	0	-	0	-	0	-	0	-	0	-	wzi155	KL35	none	Very high	98.93%		O3b	none	Very high	99.72%		aadA2^;strA.v1;strB.v1	-	-	qnrS1	-	-	-	-	sul1;sul2	tet(A).v1	-	dfrA12	LAP-2	-	-	-	-	SHV-1^	-	OmpK36-49%	-	-	-	-	ST3393	2	1	99	1	1	1	129	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504845.1	Klebsiella pneumoniae	strong	729	203870	804573	5959667	no	-	ST258	1	2	8	9	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?-+	Good	99.98%	KL106_17	O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	-	-	OmpK35-25%	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%;SHV-129?-81%	CMY-44?-66%	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504865.1	Klebsiella pneumoniae	strong	159	255629	925105	5598900	no	-	ST661	0	0	6	6	-	0	-	0	-	0	-	0	-	0	-	wzi373	KL140	none	Very high	99.99%		O2v2	none	Very high	98.45%		aadA5	-	-	qnrB1.v2^	-	mphA	-	-	sul1	-	-	dfrA17	TEM-1D.v1^	-	-	-	-	SHV-27	156D	-	-	-	OXA-9.v1*-42%	-	ST661	4	3	1	36	9	10	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504875.1	Klebsiella pneumoniae	strong	100	141280	600987	5635959	no	-	ST461	0	0	2	2	-	0	-	0	-	0	-	0	-	0	-	-	KL25	?-	None	99.79%	"KL25_03_wzi,KL25_04_wza,KL25_05_wzb,KL25_06_wzc,KL25_09_wfeD"	O1/O2v2	?-	Good	99.37%	O1/O2v2_06_wbbO	aadA^	-	-	-	-	-	-	-	sul1	-	-	-	-	-	-	-	-	SHV-1^	-	OmpK36-0%	-	-	-	-	ST461	3	1	13	34	63	1	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504925.1	Klebsiella pneumoniae	strong	70	329052	777056	5465681	no	-	ST525	0	0	4	3	-	0	-	0	-	0	-	0	-	0	-	wzi45	KL45	none	Very high	98.43%		O1v2	none	Very high	99.12%		aadA^	-	-	-	-	-	-	-	sul1	tet(D)	-	-	-	-	-	-	-	SHV-1^	-	-	-	GyrA-83I	-	-	ST525	4	4	1	1	48	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504945.1	Klebsiella pneumoniae	strong	90	203871	488096	5383215	no	-	ST437	0	0	8	10	-	0	-	0	-	0	-	0	-	0	-	wzi109	KL36	none	Very high	99.89%		O4	none	Very high	99.73%		aac(3)-IId^;aac(6')-Ib-cr.v2;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(D)	-	dfrA30*	OXA-1;TEM-1D.v1^	-	-	-	-	SHV-11.v1	35Q	OmpK36GD	-	GyrA-83I;ParC-80I	-	-	ST437	3	3	1	1	1	1	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504955.1	Klebsiella pneumoniae	strong	58	321718	588198	5507686	no	-	ST25	1	0	5	7	ybt 6; ICEKp5	63	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O1v2	none	Very high	99.20%		aph3-Ia.v1*?;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(D)	-	dfrA14.v1^	TEM-1D.v1^	-	-	-	-	SHV-11.v1^	35Q	-	-	-	sul1?-0%	-	ST25	2	1	1	1	10	4	13	22	22	6	24	16	53	51	9	17	5	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900504965.1	Klebsiella pneumoniae	strong	97	344681	839566	5615340	no	-	ST437	0	0	7	9	-	0	-	0	-	0	-	0	-	0	-	wzi109	KL36	none	Very high	99.89%		O4	none	Very high	99.73%		aadA2?;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?;catA1^	-	sul1	-	-	dfrA30*	OXA-1;TEM-1D.v1^	-	-	-	-	SHV-11.v1	35Q	OmpK36-34%	-	GyrA-83I;GyrA-87G;ParC-80I	CTX-M-15?-0%;aac(3)-IId*?-0%	aac(6')-Ib-cr.v1*?-0%;tet(D)*?-0%	ST437	3	3	1	1	1	1	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
